"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0021205505","0255","2018-04-21T06:00:00.000","753","PTAR TOCANCIPA - CAR","CUNDINAMARCA","TOCANCIPÁ","ALTO MAGDALENA","4.97","-73.918","Presión Atmosferica (1h)","HPa"
"0021205527","0255","2019-03-09T14:50:00.000","712.49","ALTO DEL AIRE  - AUT","CUNDINAMARCA","CUCUNUBÁ","ALTO MAGDALENA","5.198","-73.805","Presión Atmosferica (1h)","HPa"
"0028025120","0255","2007-04-24T08:00:00.000","805.1","SERRANIA DEL PERIJA  - AUT","CESAR","AGUSTÍN CODAZZI","CESAR","10.02908333","-73.04619444","Presión Atmosferica (1h)","HPa"
"0028025120","0255","2019-04-06T03:00:00.000","780.1","SERRANIA DEL PERIJA  - AUT","CESAR","AGUSTÍN CODAZZI","CESAR","10.02908333","-73.04619444","Presión Atmosferica (1h)","HPa"
"0023065506","0255","2019-06-12T04:30:00.000","721.945","BELLAVISTA  - AUT","CUNDINAMARCA","FACATATIVÁ","ALTO MAGDALENA","4.861","-74.405","Presión Atmosferica (1h)","HPa"
"0026125290","0255","2007-11-07T10:00:00.000","858","ARMENIA - AUT","QUINDÍO","ARMENIA","CAUCA","4.531583333","-75.69069444","Presión Atmosferica (1h)","HPa"
"0025025380","0255","2016-12-03T12:00:00.000","1008.9","SAN BENITO ABAD - LA MOJANA TX GPRS/GOES","SUCRE","SAN BENITO ABAD","BAJO MAGDALENA- CAUCA -SAN JORGE","9.164","-75.045","Presión Atmosferica (1h)","HPa"
"0021206990","0255","2017-11-14T22:00:00.000","753","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Presión Atmosferica (1h)","HPa"
"0021205514","0255","2019-02-24T22:10:00.000","749.041","LAS MARGARITAS  - AUT","CUNDINAMARCA","EL ROSAL","ALTO MAGDALENA","4.469","-74.079","Presión Atmosferica (1h)","HPa"
"0021195170","0255","2014-07-07T14:00:00.000","710.8","PAQUILO - AUT","CUNDINAMARCA","CABRERA","ALTO MAGDALENA","3.993611111","-74.39805556","Presión Atmosferica (1h)","HPa"
"0052055150","0255","2019-08-13T12:00:00.000","667","CERRO PARAMO  - AUT","NARIÑO","PUERRES","PATÍA","0.843111111","-77.38880556","Presión Atmosferica (1h)","HPa"
"0053045040","0255","2011-05-19T18:00:00.000","1011.7","AEROPUERTO GUAPI - AUT","CAUCA","GUAPI","TAPAJE - DAGUA - DIRECTOS","2.574416667","-77.89475","Presión Atmosferica (1h)","HPa"
"0022025040","0255","2010-12-03T01:00:00.000","626.1","EL DIABLO","CAUCA","PÁEZ (BELALCÁZAR)","ALTO MAGDALENA","2.978","-76.064","Presión Atmosferica (1h)","HPa"
"0044015060","0255","2011-05-18T05:00:00.000","937.8","ACUEDUCTO MOCOA - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.157333333","-76.65183333","Presión Atmosferica (1h)","HPa"
"0024015508","0255","2019-04-02T23:00:00.000","760.149","HACIENDA LA MESA  - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.308","-74.282","Presión Atmosferica (1h)","HPa"
"0021206940","0255","2012-01-29T21:00:00.000","742","CIUDAD BOLIVAR","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.577","-74.177","Presión Atmosferica (1h)","HPa"
"0053045040","0255","2006-01-05T13:00:00.000","1011.4","AEROPUERTO GUAPI - AUT","CAUCA","GUAPI","TAPAJE - DAGUA - DIRECTOS","2.574416667","-77.89475","Presión Atmosferica (1h)","HPa"
"0029035000","0255","2016-01-13T18:00:00.000","1009","SINCERIN  - AUT","BOLIVAR","ARJONA","BAJO MAGDALENA","10.14258333","-75.27827778","Presión Atmosferica (1h)","HPa"
"0025025000","0255","2014-04-09T07:00:00.000","995.1","EL DIFICIL - AUT","MAGDALENA","ARIGUANÍ (EL DIFICIL)","CESAR","9.911972222","-74.08580556","Presión Atmosferica (1h)","HPa"
"0054025010","0255","2019-03-19T12:00:00.000","896","PR CHOCO: SAN JOSE PALMAR","CHOCÓ","SAN JOSÉ DEL PALMAR","SAN JUÁN","4.898","-76.232","Presión Atmosferica (1h)","HPa"
"0013035501","0255","2019-03-18T09:00:00.000","1006.6","APTO LOS GARZONES","CÓRDOBA","MONTERÍA","SINÚ","8.826","-75.825","Presión Atmosferica (1h)","HPa"
"0011135030","0255","2016-05-10T04:00:00.000","1014.6","UNGUIA - AUT","CHOCO","UNGUÍA","ATRATO - DARIÉN","8.036722222","-77.08786111","Presión Atmosferica (1h)","HPa"
"0053045040","0255","2018-02-06T23:00:00.000","1010.8","AEROPUERTO GUAPI - AUT","CAUCA","GUAPI","TAPAJE - DAGUA - DIRECTOS","2.574416667","-77.89475","Presión Atmosferica (1h)","HPa"
"0035025080","0255","2010-08-28T18:00:00.000","697.1","PNN CHINGAZA - AUT","CUNDINAMARCA","LA CALERA","META","4.661","-73.82733333","Presión Atmosferica (1h)","HPa"
"0057025020","0255","2011-01-30T14:00:00.000","1009.5","GORGONA GUAPI","CAUCA","GUAPI","GUAVIARE","2.963","-78.174","Presión Atmosferica (1h)","HPa"
"0025025350","0255","2019-02-06T04:00:00.000","987.2","PUERTA ROJA - AUT","SUCRE","SINCELEJO","BAJO MAGDALENA- CAUCA -SAN JORGE","9.316388889","-75.3875","Presión Atmosferica (1h)","HPa"
"0023065505","0255","2019-06-23T18:00:00.000","872","CAPARRAPI - CAR","CUNDINAMARCA","CAPARRAPÍ","MEDIO MAGDALENA","5.34","-74.495","Presión Atmosferica (1h)","HPa"
"0023195200","0255","2019-03-14T06:00:00.000","810.6","CACHIRI  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.473888889","-72.99111111","Presión Atmosferica (1h)","HPa"
